2024-03-15 15:44:53.482 [info] 




2024-03-15 15:44:53.510 [info] Extension host agent started.
2024-03-15 15:44:53.609 [debug] No uninstalled extensions found.
2024-03-15 15:44:53.668 [info] [127.0.0.1][acd94629][ManagementConnection] New connection established.
2024-03-15 15:44:53.696 [info] Log level changed to info
2024-03-15 15:44:54.213 [info] [127.0.0.1][79f1c769][ExtensionHostConnection] New connection established.
2024-03-15 15:44:54.267 [info] [127.0.0.1][79f1c769][ExtensionHostConnection] <293> Launched Extension Host Process.
2024-03-15 15:45:00.864 [info] Getting Manifest... ms-python.vscode-pylance
2024-03-15 15:45:00.971 [info] Installing extension: ms-python.vscode-pylance
2024-03-15 15:45:01.599 [info] Getting Manifest... ms-python.python
2024-03-15 15:45:05.308 [error] [File Watcher (parcel)] Unexpected error: inotify_add_watch on '/root/.vscode-server/data/logs/20240305T014033' failed: No such file or directory (EUNKNOWN) (path: /root)
2024-03-15 15:45:05.310 [error] [File Watcher (universal)] restarting watcher after error: inotify_add_watch on '/root/.vscode-server/data/logs/20240305T014033' failed: No such file or directory
2024-03-15 15:45:07.075 [info] Extension signature is verified: ms-python.vscode-pylance
2024-03-15 15:45:32.228 [info] Extracted extension to file:///root/.vscode-server/extensions/ms-python.vscode-pylance-2024.3.1: ms-python.vscode-pylance
2024-03-15 15:45:32.239 [info] Renamed to /root/.vscode-server/extensions/ms-python.vscode-pylance-2024.3.1
2024-03-15 15:45:32.247 [info] Extracting extension completed. ms-python.vscode-pylance
2024-03-15 15:45:32.262 [info] Extension installed successfully: ms-python.vscode-pylance
2024-03-15 15:45:32.276 [info] Marked extension as uninstalled ms-python.vscode-pylance-2024.2.3
2024-03-15 15:53:21.182 [info] [127.0.0.1][acd94629][ManagementConnection] The client has disconnected gracefully, so the connection will be disposed.
2024-03-15 15:53:22.923 [info] [127.0.0.1][79f1c769][ExtensionHostConnection] <293> Extension Host Process exited with code: 0, signal: null.
2024-03-15 16:23:58.986 [warning] No ptyHost heartbeat after 6 seconds
2024-03-15 16:25:19.805 [warning] No ptyHost heartbeat after 6 seconds
2024-03-15 16:46:37.116 [warning] No ptyHost heartbeat after 6 seconds
